Brand,Series,name,price,second_info,year
Lenovo,T-series,"Lenovo Thinkpad T440P i7-4600M 16GB 500GB SSD 14"" NVIDIA backlit Windows 10 pro",329.99,Refurbished,2014
Lenovo,T-series,"Lenovo ThinkPad T450 i5-5300U 14"" 8GB RAM 256GB SSD Win10 Pro with Warranty",299.95,Refurbished,2014
Lenovo,T-series,Lenovo ThinkPad T440s #3 /Win 7 Pro / FHD1920x1080 / i5-4200U / 8GB /500GB+16GB,999.0,Refurbished,2014
Lenovo,T-series,"Lenovo ThinkPad 14.1"" T440 Core i5 Laptop Win 10 Pro 8GB RAM 320GB New BATTERY",199.99,Refurbished,2014
Lenovo,T-series,Lenovo ThinkPad T530 Core i7-3520M 8GB RAM 120SSD NVidia NVS 5400M Windows 7,329.95,Pre-Owned,2014
Lenovo,T-series,"Lenovo ThinkPad T440 14"" Laptop PC i5-4300U 500GB HDD 4GB RAM Win 10 - Warranty",279.99,Refurbished,2014
Lenovo,T-series,Lenovo Thinkpad T440 Core i5-4300U 2.5GHz HD 4GB 500GB SSHD BT FPR Win10,163.0,Refurbished,2014
Lenovo,T-series,Lenovo Thinkpad T440 Core i7-4600U 2.7G HD+ 8GB 500GB BT FPR Win10Pro,205.0,Refurbished,2014
Lenovo,T-series,Lenovo Thinkpad T440 Intel Core i7-4600U 2.7G HD+ 4GB 256GB SSD BT FPR Win10 Pro,209.0,Refurbished,2014
Lenovo,T-series,"Lenovo ThinkPad T440 i5 4300U, 8GB RAM, 500GB, Windows 10, 1 Year Warranty",294.99,Refurbished,2014
Lenovo,T-series,Lenovo Thinkpad T440P Core i5-4300M 2.5GHz HD 4GB 160GB HDD BT DVDRAM Win10 Pro,129.0,Refurbished,2014
Lenovo,T-series,Lenovo Thinkpad T440 Core i5-4300U 2.5GHz HD+ 4GB 500GB BT FPR Win10Pro,155.0,Refurbished,2014
Lenovo,T-series,Lenovo Thinkpad T440 Core i7-4600U 2.7G HD+ 1600*900 8GB 500GB BT FPR Win10Pro,209.0,Refurbished,2014
Lenovo,T-series,Lenovo Thinkpad T440 Core i5-4300U 2.5GHz HD 4GB 120GB SSD BT Backlit Win10Pro,165.0,Refurbished,2014
Lenovo,T-series,Lenovo Thinkpad T440 Intel Core i7-4600U 2.7G HD+ 8GB 500GB BT FPR Win10 Pro,239.0,Refurbished,2014
Lenovo,T-series,Lenovo Thinkpad T440P w/Dock i7-4600M 2.9G GT-730M HD+ 8GB 256GB SSD FPR Win10,289.0,Refurbished,2014
Lenovo,T-series,Lenovo Thinkpad T440 intel Core i5 1.90GHZ 4GB 128GB SSD Windows 10 Home camera,127.02,Pre-Owned,2014
Lenovo,T-series,Lenovo Thinkpad T440 intel i7-4600U 8gb 256GB SSD Backlit Windows 10 Pro Laptop,250.0,Pre-Owned,2014
Lenovo,T-series,Lenovo Thinkpad T440 Core i7-4600U 2.7G HD+ MultiTouch 8GB 500GB BT Win10 Pro,215.0,Refurbished,2014
Lenovo,T-series,"Lenovo ThinkPad T440 Win 8 Pro/14.0"" 1366 X 768 / i7-4600U / 8GB / 500GB+16GB",999.0,Refurbished,2014
Lenovo,T-series,Lenovo Thinkpad T440s intel i5-4300U 8gb 320gb Windows 10 Pro Laptop,189.0,Pre-Owned,2014
Lenovo,T-series,Lenovo ThinkPad T440 Ultrabook Intel i5-4200U 2.3ghz 4GB RAM 500GB ,235.0,Refurbished,2014
Lenovo,T-series,Lenovo ThinkPad T430 laptop Core i7 8GB RAM 180GB SSD Webcam,357.19,Refurbished,2014
Lenovo,T-series,"Lenovo ThinkPad T440 14"" Laptop Dual Core i5-4300U 1.9GHz 12GB 500GB w/ Win 10",189.99,Pre-Owned,2014
Lenovo,T-series,Lenovo Thinkpad T430 Business Laptop computer Intel i5-3320m 8GB DDR3 128GB,159.99,Refurbished,2014
Lenovo,T-series,Lenovo ThinkPad T430 laptop Intel Core i5 2.6GHZ  250GB SSD DVDRW ,250.0,Pre-Owned,2014
Lenovo,T-series,"Lenovo Thinkpad T440 Laptop PC, Windows 10 Home 64-bit, Intel Core i5-4300U, 8GB",300.0,Pre-Owned,2014
Lenovo,T-series,Lenovo ThinkPad T430 Laptop i5-3320M 2.60GHz CPU 4GB RAM No HDD,139.95,Pre-Owned,2014
Lenovo,T-series,Lenovo Thinkpad T440s laptop & PRO dock,300.0,Pre-Owned,2014
Lenovo,T-series,"Lenovo ThinkPad T440 i5 4300U, 4GB RAM, 320GB Webcam Windows 10, 1 Year Warranty",279.99,Refurbished,2014
Lenovo,T-series,"Lenovo ThinkPad T440 14"" Intel i5-4300U , 8GB RAM, 128GB SSD *FAST SHIPPING*",183.99,Pre-Owned,2014
Lenovo,T-series,"Lenovo Thinkpad T440 Laptop PC, Windows 10 Home 64-bit, Intel Core i5-4300U, 8GB",272.0,Pre-Owned,2014
Lenovo,T-series,"Lenovo ThinkPad T440 i5 4300U, 8GB RAM, 500GB HDD *FAST SHIPPING*",147.99,Pre-Owned,2014
Lenovo,T-series,Lenovo ThinkPad T440 Laptop Intel Core i7-4600U 2.1GHz 700GB  Win 10 Pro,350.0,Pre-Owned,2014
Lenovo,T-series,"Lenovo 14"" Thinkpad, T440P, Intel Core i5-4200M,8GB RAM, 1TB HDD, Win10 PRO",340.0,Pre-Owned,2014
Lenovo,T-series,"Lenovo Thinkpad T440 Laptop PC, Windows 10 Home 64-bit, Intel Core i5-4300U, 8GB",300.0,Pre-Owned,2014
Lenovo,T-series,"Thinkpad T440 Ultrabk, 14"" Intel Core 4th G i5-4300U 1.9 8GB RAM, 500GB, W10P",269.95,Refurbished,2014
Lenovo,T-series,Lenovo Thinkpad T440s Intel Core i5 4300U 1.9GHz 12GB RAM 384GB DUAL SSD Laptop,199.0,Pre-Owned,2014
Lenovo,T-series,"Lenovo Thinkpad T440 Laptop PC, Windows 10 Home 64-bit, Intel Core i5-4300U, 8GB",272.0,Pre-Owned,2014
Lenovo,T-series,"Lenovo ThinkPad T430 Laptop i5-3320M vPro 2.6Ghz 8 GB 14""",140.0,Pre-Owned,2014
Lenovo,T-series,Lenevo Thinkpad T440 I7-4600U 12GB RAM 256SSD-HD 1366x768,385.0,Pre-Owned,2014
Lenovo,T-series,Lenevo Thinkpad T540P I7-4600 256SSD 16GB Ram Win 10-64bit 1366 x 768,500.0,Pre-Owned,2014
Lenovo,T-series,Lenevo Thinkpad T450 I5-5300U CPU 2.30Ghz 16GBRAM 256SSD-HD Win 7-64bit,450.0,Pre-Owned,2014
Lenovo,T-series,Lenevo Thinkpad T540P I7-4600M 2.9Ghz 500GBSSD 16GBRam Win 10-64bit 1366 x 768,600.0,Pre-Owned,2014
Lenovo,T-series,Lenevo Thinkpad T450 I5-5300U CPU 2.30Ghz 16GBRAM 256SSD-HD Win 7-64bit,400.0,Pre-Owned,2014
Lenovo,T-series,ThinkPad T530 Core i7-3630QM 8GB 180GB SSD NVS 5400M Win 10 Office 2019 Pro Dock,295.0,Pre-Owned,2014
Lenovo,T-series,Lenovo Thinkpad T450 Intel Core i7-5600U 2.6GHz 160GB SSD 8GB RAM Win10 Pro,154.25,Pre-Owned,2015
Lenovo,T-series,Lenovo ThinkPad T440s 14in.,370.0,Refurbished,2015
Lenovo,T-series,Lenovo Thinkpad T450s Laptop Core i7 2.6GHZ 8GB 256GB SSD Win 10 Pro Touch,200.0,Pre-Owned,2015
Lenovo,T-series,Lenovo Thinkpad T450s Laptop Core i5 2.3GHZ 8GB 512GB SSD Windows 10 Pro x64,359.02,Refurbished,2015
Lenovo,T-series,"Lenovo ThinkPad T430 14"" laptop i5-2520 2.50GHz 8GB 500GB Win10 2349S7W",326.08,Refurbished,2015
Lenovo,T-series,LENOVO THINKPAD T450 i5 4200U 1.6GHz 12GB RAM 297GB LAPTOP Win 10,199.99,Refurbished,2015
Lenovo,T-series,"Lenovo 14"" ThinkPad T450 Intel i5-5200U 2.20GHz 8GB RAM 1TB HDD Windows 10 PRO",142.5,Pre-Owned,2015
Lenovo,T-series,Lenovo Thinkpad T450 Intel Core i5-5300U 2.2GHz HD 4GB 180GB SSD BT Win10 w/PS,239.95,Pre-Owned,2015
Lenovo,T-series,LENOVO  THINKPAD  T400  WINDOWS  7  PRO  ACTIVATED  UPDATED  LAPTOP,219.0,Refurbished,2015
Lenovo,T-series,Lenovo Thinkpad T450s Intel Core i5-5200U 2.20GHz 4GB 256GB SSD BT FPR Win10,90.0,Pre-Owned,2015
Lenovo,T-series,Lenovo Thinkpad T450s laptop,215.0,Refurbished,2015
