,time_list,name_list,id_list,text_list,Lang
0,2019-07-23 21:19:21,Scilliams,@scilliams,Short positions on volatility increasing... because 3rd time's a charm! #vix ,en
1,2019-07-23 19:49:35,CommodityVol.com,@CommodityImpVol,Its probably nothing but the #vix call wing is ratcheting up... here is a five day comparison. ,en
2,2019-07-25 20:02:12,CommodityVol.com,@CommodityImpVol,#VIX calls show a sign of bid... ,en
3,2019-07-25 00:11:01,tiago,@tiagolvsantos,"What is VSTOXX telling? 

#VIX #VSTOXX",en
4,2019-07-25 14:49:07,Christophe Barraud ,@C_Barraud,"#VIX Call Buying Explodes in Wave Evoking Memories of `50 Cent' - Bloomberg
*Link: https://bloom.bg/2ZcXVUW ",en
5,2019-07-25 17:59:56,Jeet,@JeetSituationM,Can #VIX see a big upmove tomorrow? ,en
6,2019-07-24 07:11:24,Vix Vixerson,@Vix_Vixerson,"3 month - $JNUG vs $TVIX

Vix players could be getting a free tell here at bottom dollar from gold bugs

$UVXY $DUST $SVXY #Gold #Vix #stockmarket #money",en
7,2019-07-24 19:14:53,Callum Munro,@MrMunro1996,Hmm  now I like this #VIX #V75,en
8,2019-07-25 20:16:23,Lakshmi,@Lakshmi_888,"Aftrn Carl. I may well be wrong as others have it to go higher but my chart shows that lower level *in time*

That's not to say there wont be an intermediate rise/bounce

Else, my chart cld also be totally b*lls!

#VIX #VXX $VIX $VXX",en
9,2019-07-25 14:12:43,MichTrader,@MichTrader,"VIX update, time to start fear.

#VIX #Fear #volatility",en
10,2019-07-25 22:02:47,Sarian Strategic Partners,@SarianStrategic,"""Quiet #summer continues with #VIX near its 2019 low."" -Jeremiah Riethmiller (Director of Investment Strategy & Research) #ThursdayThoughts",en
11,2019-07-25 00:26:05,Jim Davis,@JGwizard,"said it yest 

$uvxy 

#vix 

vol buyers = money losers",en
12,2019-07-24 14:32:07,Jeet,@JeetSituationM,"#VIX dropping suddenly an hour ago! Interesting   

Is this the first sign? Let's see!",en
13,2019-07-25 13:49:24,Optietrading - Rene,@Optietrading,Or should You be bullish @ #VIX ,en
14,2019-07-24 20:15:03,CommodityVol.com,@CommodityImpVol,"Just like that, the #VIX call wing is smashed... ",en
15,2019-07-20 11:53:14,Jimmy,@jimmy_trader,"$XVI Australian #VIX with a 10 handle. 

That won't last long. ",en
16,2019-07-24 01:21:28,"Michael King, $TSLAQ Interim Chairman",@WallStCritic,Completely ridiculous contango between spot and month 1. $VIX #VIX $UVXY $VXX,en
17,2019-07-25 08:56:03,Vix Vixerson,@Vix_Vixerson,"2 year - #GOLD vs #VIX

Every $JNUG run up has been associated with a spike in $TVIX (yellow)

$JDST $NUGT $DUST $UVXY $SVXY https://twitter.com/charliebilello/status/1154139511657586689 …",en
18,2019-07-25 04:47:09,Reminiscences of an American Capitalist,@4Awesometweet,"There’s a time to go long 
There’s a time to go short
And There’s a time to go fishing 

J. Livermore, Legendary Trader

#trading #fed #stocks
#vix $fb",en
19,2019-07-25 02:34:07,Reminiscences of an American Capitalist,@4Awesometweet,"VIX down 17% this week

You’ll be able to tell your grandchildren you were there 
when the VIX went to Zero

Stocks have no risk
Prepare the champagne and lobsters 

@DiMartinoBooth @jennablan 
@TheDomino @GaryKaltbaum 
$vxx #vix",en
20,2019-07-24 14:12:59,Shai,@Am_Shai,I have done a lot of work with the #Vix over the past many years and used it very successfully to define day ranges etc and zones for option writing around expiry . In-fact my earliest work on #Vix was in 2010 here - https://vtrender.com/vix-nifty-range-explained/ …,en
21,2019-07-16 02:18:51,Mystery Trader,@MysteryTrader99,"$VIX Daily: #VIX rejecting @ ~13 intraday, historically next day typically retreats to next handle down following day. Should this hold, VIX should drop to 12 tomorrow. Stochs rolling over again also confirming this.

Patience... this will drag on

#volatility $TVIX $UVXY $VXX",en
22,2019-07-15 07:59:58,Mystery Trader,@MysteryTrader99,"$VIX Daily: #VIX chart playing out exactly as it should, chasing Lower BB to green TL lower bound LT trend support. Stochs should continue to stay depressed until following week. 

Be patient & wait... 

#volatility $TVIX $UVXY $VXX",en
23,2019-07-13 22:15:52,Henrik Zeberg,@HenrikZeberg,"#VIX sends powerful signal to #SP500, which is in Ending Expanding Diagonal developing since early 2018. Only worry is, that structure is apparent to everybody in market. Still we have major negative divergence with RSI, which is a warning of coming weakness #HZupdates",en
24,2019-07-13 22:12:55,Henrik Zeberg,@HenrikZeberg,"#VIX has been chrushed.. Seems like nding Diagonal, which often ends trend. Observe RSI has been moving higher, while price has fallen since Mid-2017. IF we see Throw-over and a strong acceleration up, it will be a strong signal, that the trend has changed #SP500 #HZupdates",en
25,2019-07-13 06:38:51,Cory Johnson,@CoryTV,"I see his point. Having an instant, digital, verifiable and immutable record of transactions — even, God forbid, taxes paid — is threatening to his world view. And his international banking history. #AlfaBank (But I’m surprised to see he’s against volatility. #VIX) https://twitter.com/realDonaldTrump/status/1149472282584072192 …",en
26,2019-07-12 22:36:17,Mystery Trader,@MysteryTrader99,"$VIX Daily: #VIX drifting lower still following lower BB. Should clip an 11.xx handle at least once before Wave 1 finally completes on indexes.  Stochs should double dip. Don’t try to short yet, be patient... options delay & decay is name of the game

#volatility $TVIX $UVXY $VXX",en
27,2019-07-10 12:07:01,Rohit Srivastava,@indiacharts,“India Vix hit the lower end of the range at the end of June as shown by the red arrows. It often marks a point from where volatility expands. A slight bump up so far. Can we go back to the top.” https://buff.ly/2S4qEZ2  #india #vix #volatility #stocks #nifty,en
28,2019-07-10 00:47:52,Cydonia Capital,@cydoniacapital,Based on the options market for #VIX puts and calls traders are expecting the VIX rise over than a couple of days and even a month from now. http://technicaltraders.com/  @sunchartist,en
29,2019-07-09 22:39:38,mcm-ct.com,@mcm_ct,#vix coming up on a gap fill...and at lows of day (but think it goes lower),en
30,2019-07-09 15:36:29,Henrik Zeberg,@HenrikZeberg,#VIX Wait for it....! #HZupdates,en
31,2019-07-07 23:17:31,Francis Bussiere,@AstroCycle_Net,The potential for a down July can be seen here. http://bit.ly/2I42xru  The #VIX may have reversed higher for its 4/8 week cycle but that does not mean an immediate decline. http://bit.ly/2FZb9Mp ,en
32,2019-07-06 03:30:32,Felix,@Felici_Fra,"Update : if not now, when? Before the next election run I need to see a 25% correction #Dax #S&P #vix @mcm_ct @Simple_Trends @StockBoardAsset @MysteryTrader99 @apanalis @TargetedTiming @mgftzgd #dow #StockMarket",en
33,2019-07-04 17:07:14,Lakshmi,@Lakshmi_888,"#VolatilityIndex $VIX #VXX $VXX

*Seems incredible but cld see lower blue range being hit before #VIX reverses
*Who says #MarketManipulation doesnt work
*Gap dating back to Jan 2018 nds to be filled

$SPY $NDX #DIA $DIA $YM #RUT #SPX #NQ $Dax $Dow #Dow #FTSE $SPX $NQ

PLS R/T",en
34,2019-07-02 19:00:42,Carl Carrie,@carlcarrie,"Simple volatility estimation in R #rstats #VIX

http://www.ntu.edu.sg/home/nprivault/MA5182/volatility-estimation.pdf …",en
35,2019-06-26 23:57:04,Francis Bussiere,@AstroCycle_Net,The #VIX crossing above 17 should start some selling into the month end or Independence Day. http://bit.ly/2FZb9Mp ,en
36,2019-06-25 23:16:26,Francis Bussiere,@AstroCycle_Net,The high Tuesday seems to have come early http://bit.ly/2WUxMIV  and the Put/Calls are fully overbought http://bit.ly/2U3g7ge  making that 60 to 90 pts drop quite possible by Thu or Fri http://bit.ly/2KuaeJJ  The #VIX is slow to climb and a major solstice high is possible.,en
37,2019-06-18 14:33:39,Christophe Bohnet,@BohnetCh,#vix  if rhythm is correct it should be spicy beginning of  July ,en
38,2019-06-18 03:42:08,Mark Hruska,@mark_hruska,"$SPX This week ends red? 


#ES_F $ES_F $ES $SPY $SVXY #VIX $TVIX $UVXY $VXX $VIX $VVIX $OEX $XHB $UPRO $SPXL $SPXS $EDC $EDZ $QQQ $NASDAQ $NDX $NQ $AAPL $AMZN $FB $NFLX $BA $TSLA $JPM $BABA $BAC $GOOG $GOOGL $WMT $XOM $INTC $MSFT $TQQQ $SQQQ $T $X $ADBE $HMNY $TWTR $V $CRON",en
39,2019-05-22 16:22:13,Anand Rathi,@anandrathi12,Does rising #vix or high vix indicates just fall always..!! I think it can also be read as big upside move.. I may be wrong too as I'm novice on such things... ;),en
40,2019-05-16 07:17:43,Julien Guyon,@julienguyon1977,I’m very happy and proud to present for the first time a solution to the Joint SPX/VIX Smile Calibration Puzzle at #QuantMinds in Vienna. A longstanding issue finally solved! :)) Paper available soon on #SSRN. #quant #vix #SP500 #spx #calibration,en
41,2019-05-15 21:07:17,jeroen blokland,@jsblokland,#VIX volatility! VIX Index remains at a somewhat elevated level. ,en
42,2019-05-15 03:31:59,Mystery Trader,@MysteryTrader99,"$VIX Daily: #VIX so far VIX looks consolidative.  Watch for another support touch of 13MA ~16.63 possibly by tomorrow. Another bounce of 13MA would be a very bad sign that 2nd shock wave is coming. A break below 13MA support indicates B-wave bounce started
#volatility $TVIX #TVIX",en
43,2019-05-14 13:14:55,NIHIT SANGOI,@edgewithhedge,"I will give 4-5 HEDGED STRATERGIES  for #Elections2019results 

Will give strategies for 

1. Hedge your existing #portfolio 

2. Debit spreads 

3. #VIX trades 

Will share/discuss stratergies on WhatsApp 

Retweet & Share your contacts in private 

#edgewithhedge",en
44,2019-05-14 01:31:44,jeroen blokland,@jsblokland,#VIX spikes 30%! ,en
45,2019-05-12 17:46:49,Ole S Hansen,@Ole_S_Hansen,The Cboe #VIX received a great deal of attention last week as it surged in response to renewed stock market weakness. In the end the weakness in stocks were orderly and so was the reduction of short VIX positions which up until last Tuesday was cut by 30k lots to 150k lots. ,en
46,2019-05-12 15:17:58,the_dumb_trader,@thedumbtrader,"#VIX could test 30/39 till it stays above 21. Enjoy the rollercoster, ",en
47,2019-05-10 22:20:14,David Brady,@GlobalProTrader,"#VIX down, stocks down, someone call the repair man, the mechanism has broken down.",en
48,2019-05-10 14:11:11,Sunder,@SunderjiJB,"Being an intraday trader, when I finish trading, I walk out with the game, not worrying missing out plenty others as some game are fat enough to feed for a month. This is one such month. #VIX

Last 6 trading days till today 
+1.05 L
+20.4 k
+39.4 k
+18.4 k
+24.3 k
+32.8 k",en
49,2019-05-09 16:20:26,Ole S Hansen,@Ole_S_Hansen,#VIX hits new high at 22% on #TradeWars nerves and North Korean missile news. Most of the record speculative futures short held on April 30 is now under water. $SVXY  $SPY,en
50,2019-05-07 02:56:56,State Street SPDR ETFs,@StateStreetETFs,"Volatility has spiked 40% this morning with all the #tariff talk. Watch volumes today; SPDR trading volume has an 87% correlation to changes in the #VIX. #ItsLiquidityTime http://bit.ly/2V09fkk 

Source: Bloomberg Finance L.P. 4/29/2019 and calculations by SPDR Americas Research",en
51,2019-05-06 22:13:48,David Brady,@GlobalProTrader,Last week I reported on the #VIX at ATHs and higher lows on a monthly basis… VIX up 28% this morning!  ,en
